All Time Rank,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,AirPlay Spins,Deezer Playlist Reach,Pandora Streams,Pandora Track Stations,Shazam Counts,Spotify Streams is NaN,Spotify Playlist Count is NaN,Spotify Playlist Reach is NaN,YouTube Views is NaN,YouTube Likes is NaN,TikTok Posts is NaN,TikTok Likes is NaN,TikTok Views is NaN,YouTube Playlist Reach is NaN,AirPlay Spins is NaN,Deezer Playlist Reach is NaN,Pandora Streams is NaN,Pandora Track Stations is NaN,Shazam Counts is NaN,Track Score,Spotify Popularity,Apple Music Playlist Count,Deezer Playlist Count,Amazon Playlist Count,Spotify Popularity is NaN,Apple Music Playlist Count is NaN,Deezer Playlist Count is NaN,Amazon Playlist Count is NaN
1446,19565712.0,3586.0,6501678.0,32474495.0,238892.0,944307.6200758681,7618281.0,51520600.0,189230651.0,26.0,129440.0,2831222.0,2605.0,271898.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38.6,63.50158061116965,16.0,5.0,10.0,1,0,0,0
1447,42032763.0,2684.0,48467220.0,12120768.0,209919.0,944307.6200758681,112637464.57127072,1161157789.8336556,2297932.0,17.0,1333180.0,1015922.0,311.0,79826.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38.6,79.0,28.0,7.0,25.0,0,0,0,0
1449,551035247.0,58065.0,19199798.0,709288321.0,7563367.0,419566.0,38208611.0,244717002.0,459597096.0,51761.0,348557.0,191472793.0,129256.0,2677590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,70.0,42.0,35.0,13.0,0,0,0,0
1450,357445095.0,30881.0,19190261.0,402629804.0,1360903.0,237800.0,53362153.0,717809876.0,7535944.0,10.0,155594.0,5916348.0,4154.0,686504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,71.0,6.0,4.0,5.0,0,0,0,0
1445,447387314.7459327,59390.8298013245,23346816.055212013,402796728.9801957,2930048.625204201,944307.6200758681,112637464.57127072,1161157789.8336556,343960146.3082707,55139.15675280351,1294938.737745098,85667349.25558099,87876.96578631453,219794543.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,38.6,63.50158061116965,54.603119584055456,32.31095406360424,25.348942172073343,1,1,1,1
1453,459476092.0,79169.0,20678333.0,301677718.0,2245842.0,55272.0,38358977.0,399821879.0,462649059.0,63710.0,1485067.0,3528286.0,5647.0,3574604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,69.0,87.0,46.0,45.0,0,0,0,0
1451,133152051.0,55843.0,7668430.0,10008757.0,138349.0,2927.0,964979.0,7150381.0,2984.0,41.0,113267.0,622713.0,531.0,478358.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,71.0,8.0,4.0,25.348942172073343,0,0,0,1
1454,347951927.0,60696.0,17980948.0,597413972.0,2596959.0,26000.0,6485132.0,91298035.0,169301786.0,21323.0,1666687.0,31517568.0,6884.0,1143010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5,61.0,78.0,17.0,29.0,0,0,0,0
1452,656416971.0,74344.0,55382119.0,58769088.0,325798.0,293693.0,109562958.0,1039707434.0,343960146.3082707,35346.0,2015748.0,33566910.0,4454.0,1394827.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38.5,75.0,75.0,29.0,47.0,0,0,0,0
1458,1307283069.0,94169.0,67796903.0,250157022.0,3792791.0,1470630.0,374412871.0,2941268049.0,280717147.0,54624.0,361732.0,21437551.0,24674.0,4686324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,80.0,131.0,104.0,85.0,0,0,0,0
